# Any line starting with a # symbol is a comment and ignored by the game.
# Most areas of the game support using "~" symbols to ~highlight~ words.
#
# Multiline strings are to be enclosed in ` backticks. 

# Main Menu Options
OPENTYRIAN              :AOpenTyrian
# Level Event Warning Texts / Sounds
LVLEVENT_WARNING_0       :AEnemy approaching from behind.
LVLEVENT_WARNING_1       :ALarge mass detected ahead!
LVLEVENT_WARNING_2       :AIntercepting enemy aircraft.
LVLEVENT_WARNING_3       :ACleared enemy platforms.
LVLEVENT_WARNING_4       :AApproaching enemy platforms...
LVLEVENT_WARNING_5       :A~WARNING:~ Spikes ahead!!
LVLEVENT_WARNING_6       :AAfterburners activated!
LVLEVENT_WARNING_7       :A** Danger! **
LVLEVENT_WARNING_8       :A>>> Bonus Level <<<

# Help Menu
HELPMENU_HELP_MENU       :AHelp Menu
HELPMENU_1P_GAME_MENU    :AOne-Player Game Menu
HELPMENU_2P_GAME_MENU    :ATwo-Player Game Menu
HELPMENU_UPGRADE_SHIP    :AUpgrade Ship
HELPMENU_OPTIONS         :AOptions
HELPMENU_EXIT_HELP       :AEXIT HELP

# Menu Hints / Tooltips
MENU_HINT_0              :ACommunications : Read incoming messages
MENU_HINT_1              :APurchase new weapons and ship components.
MENU_HINT_2              :AConfiguration and Load/Save game
MENU_HINT_3              :AJourney onward to another level.
MENU_HINT_4              :AQuit the game.
MENU_HINT_5              :AEach ship has a different armor rating.
MENU_HINT_6              :AChange and upgrade your forward weapon.
MENU_HINT_7              :AChange and upgrade your rear/side weapon.
MENU_HINT_8              :AShields are your first line of defense.
MENU_HINT_9              :AGenerators power your weapons and shields.
MENU_HINT_10             :ATake a chance : Purchase a special weapon.
MENU_HINT_11             :AReturn to the previous menu.
MENU_HINT_12             :ALoad a saved game. (Shortcut is ALT-L)
MENU_HINT_13             :ASave your game for later. (Shortcut is ALT-S)
MENU_HINT_14             :AChange volume with the left/right arrow keys.
MENU_HINT_15             :AConfigure your Joystick buttons.
MENU_HINT_16             :AChange the keys used to play the game.
MENU_HINT_17             :ASelect this location to visit next.
MENU_HINT_18             :ASelect the item you want.
MENU_HINT_19             :APress ENTER to change this key.
MENU_HINT_20             :APress up or down to select the save slot you want.
MENU_HINT_21             :APress up or down to select the cube you want to read.
MENU_HINT_22             :APress ESC to exit.
MENU_HINT_23             :ASelect a weapon. Left/right arrow keys to change power level.
MENU_HINT_24             :AReset all key selections to the original settings.
MENU_HINT_25             :AContinue playing the level.
MENU_HINT_26             :AQuit playing the level.
MENU_HINT_27             :AChange detail level with the left/right arrow keys.
MENU_HINT_28             :AChange game speed with the left/right arrow keys.
MENU_HINT_29             :AUse the arrow keys to select the interface device to use.
MENU_HINT_30             :AChange the function with the left/right arrow keys.
MENU_HINT_31             :ASelect this if the position mark is not in the center rectangle.
MENU_HINT_32             :ALeave the joystick in the center position and push a button.
MENU_HINT_33             :AAccess schematics and detailed info on your ship.

# In Game Menu
INGAMEMENU_MUSIC_VOL     :AMusic Volume
INGAMEMENU_SOUND_VOL     :ASound Volume
INGAMEMENU_DETAIL_LVL    :ADetail Level
INGAMEMENU_GAME_SPEED    :AGame Speed
INGAMEMENU_RETURN_TO_GAME:AReturn to Game
INGAMEMENU_QUIT_LVL      :AQuit Level

# Other Miscellanous Strings
EMPTY_SAVE_SLOT_LINE     :A-----

############## Items ##############
WEAPONPORT_0             :ANone
WEAPONPORT_1             :APulse-Cannon
WEAPONPORT_2             :AMulti-Cannon
WEAPONPORT_3             :AMega Cannon
WEAPONPORT_4             :ALaser
WEAPONPORT_5             :AZica Laser
WEAPONPORT_6             :AProtron Z
WEAPONPORT_7             :AVulcan Cannon
WEAPONPORT_8             :ALightning Cannon
WEAPONPORT_9             :AStarburst
WEAPONPORT_10            :AMulti-Cannon
WEAPONPORT_11            :ASonic Wave
WEAPONPORT_12            :AProtron
WEAPONPORT_13            :AProtron
WEAPONPORT_14            :AWild Ball
WEAPONPORT_15            :AVulcan Cannon
WEAPONPORT_16            :AMiscellaneous Option Weapons
WEAPONPORT_17            :AMissile Launcher
WEAPONPORT_18            :AFireball
WEAPONPORT_19            :AMega Pulse
WEAPONPORT_20            :AHeavy Missile Launcher
WEAPONPORT_21            :ARear Heavy Missile Launcher
WEAPONPORT_22            :ARear Mega Pulse
WEAPONPORT_23            :ABanana Blast
WEAPONPORT_24            :ABanana Blast Rear
WEAPONPORT_25            :AHotDog Front
WEAPONPORT_26            :AHotDog Rear
WEAPONPORT_27            :AHyper Pulse
WEAPONPORT_28            :AGuided Micro Bombs
WEAPONPORT_29            :AHeavy Guided Bombs
WEAPONPORT_30            :AScatter Wave
WEAPONPORT_31            :AGuided Bombs
WEAPONPORT_32            :AShuruiken Field
WEAPONPORT_33            :APoison Bomb
WEAPONPORT_34            :AProtron Wave
WEAPONPORT_35            :AThe Orange Juicer
WEAPONPORT_36            :ANortShip Super Pulse
WEAPONPORT_37            :ANortShip Spreader
WEAPONPORT_38            :ANortShip Spreader B
WEAPONPORT_39            :AAtomic RailGun
WEAPONPORT_40            :AWidget Beam
WEAPONPORT_41            :ASonic Impulse
WEAPONPORT_42            :ARetroBall

SPECIALITEM_0            :ANone
SPECIALITEM_1            :ARepulsor
SPECIALITEM_2            :APearl Wind
SPECIALITEM_3            :ASoul of Zinglon
SPECIALITEM_4            :AAttractor
SPECIALITEM_5            :AIce Beam
SPECIALITEM_6            :AFlare
SPECIALITEM_7            :ABlade Field
SPECIALITEM_8            :ASandStorm
SPECIALITEM_9            :AMineField
SPECIALITEM_10           :ADual Vulcan
SPECIALITEM_11           :ABanana Bomb
SPECIALITEM_12           :AProtron Dispersal
SPECIALITEM_13           :AAstral Zone
SPECIALITEM_14           :AXega Ball
SPECIALITEM_15           :AMegaLaser Dual
SPECIALITEM_16           :AOrange Shield
SPECIALITEM_17           :APulse Blast
SPECIALITEM_18           :AMegaLaser
SPECIALITEM_19           :AMissile Pod
SPECIALITEM_20           :AMinefield
SPECIALITEM_21           :APost-It Blast
SPECIALITEM_22           :ADrone **
SPECIALITEM_23           :ARepair Player 1
SPECIALITEM_24           :ASuper Bomb
SPECIALITEM_25           :AHot Dog
SPECIALITEM_26           :ALightning UP
SPECIALITEM_27           :ALightning UP+LEFT
SPECIALITEM_28           :ALightning UP+RIGHT
SPECIALITEM_29           :ALightning LEFT
SPECIALITEM_30           :ALightning RIGHT
SPECIALITEM_31           :AMicroSol Option
SPECIALITEM_32           :AMicroSol Option2
SPECIALITEM_33           :AMicroSol Option3
SPECIALITEM_34           :AMicroSol Option4
SPECIALITEM_35           :AMicroSol Option5
SPECIALITEM_36           :AMicroSol Option6
SPECIALITEM_37           :AInvulnerability
SPECIALITEM_38           :AAtom Bomb
SPECIALITEM_39           :ASeeker Bombs
SPECIALITEM_40           :ALightning Zone
SPECIALITEM_41           :ASDF Main Gun
SPECIALITEM_42           :AIce Blast
SPECIALITEM_43           :ARepair Player 1
SPECIALITEM_44           :APearl Wind
SPECIALITEM_45           :A8-Way Microbomb
SPECIALITEM_46           :AProtron Field

GENITEM_0                :ANone
GENITEM_1                :AStandard MR-9
GENITEM_2                :AAdvanced MR-12
GENITEM_3                :AGencore Custom MR-12
GENITEM_4                :AStandard MicroFusion
GENITEM_5                :AAdvanced MircoFusion
GENITEM_6                :AGravitron Pulse-Wave

SHIPNAME_0               :ANone
SHIPNAME_1               :AUSP Talon Light Fighter
SHIPNAME_2               :ASuperCarrot
SHIPNAME_3               :AGencore Phoenix
SHIPNAME_4               :AGencore Maelstrom
SHIPNAME_5               :AMicroCorp Stalker
SHIPNAME_6               :AMicroCorp Stalker-B
SHIPNAME_7               :APrototype Stalker-C
SHIPNAME_8               :AStalker
SHIPNAME_9               :AUSP Fang Light Fighter
SHIPNAME_10              :AU-Ship
SHIPNAME_11              :ASilver Ship
SHIPNAME_12              :ANort Ship
SHIPNAME_13              :AThe Stalker 21.126
SHIPNAME_91              :ACustom Ship 1
SHIPNAME_92              :ACustom Ship 2
SHIPNAME_93              :ACustom Ship 3
SHIPNAME_94              :ACustom Ship 4
SHIPNAME_95              :ACustom Ship 5
SHIPNAME_96              :ACustom Ship 6
SHIPNAME_97              :ACustom Ship 7
SHIPNAME_98              :ACustom Ship 8
SHIPNAME_99              :ACustom Ship 9
SHIPNAME_100             :ACustom Ship 10

SIDEKICK_0               :ANone
SIDEKICK_1               :ASingle Shot Option
SIDEKICK_2               :ADual Shot Option
SIDEKICK_3               :ACharge Cannon
SIDEKICK_4               :AVulcan Shot Option
SIDEKICK_5               :AWobbley
SIDEKICK_6               :AMegaMissile    Ammo 5
SIDEKICK_7               :AAtom Bombs     Ammo 20
SIDEKICK_8               :APhoenix Device Ammo 8
SIDEKICK_9               :APlasma Storm   Ammo 10
SIDEKICK_10              :AMini-Missile   Ammo 100
SIDEKICK_11              :ABuster Rocket  Ammo 30
SIDEKICK_12              :AZica SuperCharger
SIDEKICK_13              :AMicroBomb      Ammo 60
SIDEKICK_14              :A8-Way MicroBomb  Ammo 30
SIDEKICK_15              :APost-It Mine   Ammo 20
SIDEKICK_16              :AMint-O-Ship
SIDEKICK_17              :AZica Flamethrower
SIDEKICK_18              :ASide Ship      Ammo 100
SIDEKICK_19              :ACompanion Ship Warfly
SIDEKICK_20              :AMicroSol FrontBlaster
SIDEKICK_21              :ACompanion Ship Gerund
SIDEKICK_22              :ABattleShip-Class Firebomb
SIDEKICK_23              :AProtron Cannon Indigo
SIDEKICK_24              :ACompanion Ship Quicksilver
SIDEKICK_25              :AProtron Cannon Tangerine
SIDEKICK_26              :AMicroSol FrontBlaster II
SIDEKICK_27              :ABeno Wallop Beam
SIDEKICK_28              :ABeno Protron System -B-
SIDEKICK_29              :ATropical Cherry Companion
SIDEKICK_30              :ASatellite Marlo

SHIELDNAME_0             :ANone
SHIELDNAME_1             :AStructural Integrity Field
SHIELDNAME_2             :AAdvanced Integrity Field
SHIELDNAME_3             :AGencore Low Energy Shield
SHIELDNAME_4             :AGencore High Energy Shield
SHIELDNAME_5             :AMicroCorp LXS Class A
SHIELDNAME_6             :AMicroCorp LXS Class B
SHIELDNAME_7             :AMicroCorp LXS Class C
SHIELDNAME_8             :AMicroCorp HXS Class A
SHIELDNAME_9             :AMicroCorp HXS Class B
SHIELDNAME_10            :AMicroCorp HXS Class C


############## Start of Datacubes ##############
DATACUBE_1_1_TITLE       :~TYRIAN~ DATAFLUX 040-54-871
DATACUBE_1_1_HEADER      :Data
DATACUBE_1_1_BODY        :`After gathering all the available data, I think I've found the safest course
into Tyrian orbit from my landing platform...

After heading due west out of the Fauchi mines you should come in contact with
the floating battle platforms. Watch for the auto targeting plasma turrets
and especially the ~construction~ ~claws~. 

Whoever designed these platforms sure counted on spies and infiltrators, as
they're loaded with small squadrons of surface ~attack~ ~drones~ as well. 

I think these platforms are filled with ~Gravitic Ore~, which would explain why
they're floating. No wonder ~Microsol~ wants to mine them so badly. I just hope
I don't get intercepted before I reach orbit.
`
DATACUBE_1_2_TITLE       :HOLOVID RELEASE ALPHA
DATACUBE_1_2_HEADER      :Historical
DATACUBE_1_2_BODY        :`Note: Rated Not Funny

The Prime Chair said in a convention at Midway, ~Savara~, "We feel that the
economic benefits for the mineral gathering on ~Tyrian~ to be immense,
scientifically and economically.  While so far we haven't found anything but
worthless granite strata, we have been able to form stable test platforms for
military deployment which avoids 80% of the gravitational pull of the main
body of the planet, significantly reducing deployment time and energy
consumption.  In addition, there is a 260% increase in solar collection at
that level of the atmosphere and we feel it can be beamed down to the surface
to provide cheaper, more bountiful power while avoiding the need to deploy
space-platforms.

If we can keep the gravitational disruption active on the rock and still
maintain at least a moderate ground G-force, it will increase the worth of
~Tyrian~ and provide us with an increased capacity for fast colonization."

Scientists believe the mineral compositions in the heavy rock strata on the
surface of the planet can be easily gathered while the planet's gravity has
been disrupted.  ~Tyrian~ is the only planet whose gravity shifts enough to
allow the top strata to break apart from the planet in large sections.

So far, no-one has been able to figure out the odd results in the force, but
~Gencore~ has stated it believes the mineral components of ~Microsol's~ world to
be just on the surface of the planet.  They believe the core of the world
is mostly gas pressure with molten pockets situated in several locations
around the core, without any matter in the center of the planet.  They have
distributed holo-models of the force diagrams which indicate the gravitational
pull is very uneven around the planet, which conflicts near several locations
on the surface and would provide a near-cancellation of the G-force.
`
DATACUBE_1_3_TITLE       :No Title
DATACUBE_1_3_HEADER      :None
DATACUBE_1_3_BODY        :`No Message
`
DATACUBE_1_4_TITLE       :LOCAL EMPORIUM DATAFLUX
DATACUBE_1_4_HEADER      :Ad
DATACUBE_1_4_BODY        :`Come on down and pick up a USP shuttle at Hank's Used Shuttle and
Holo-Tractor Emporium!

These new Uncorporated Systems Personnel shuttles deliver unparalleled speed
and versatility, allowing the most dangerous and unskilled pilots to manuever
with ease. You may also mount conventional weapons to discourage asteroids
from striking your hull.

The ~USP Talon~ provides you with 1 full inch of armor plating and a generous
full-sized generator and engine area.  With both forward and rear mounting
systems and 2 cargo bays, it's just like a real ~Microsol~ fighter!
Specially designed for speed and maneuverability, it gives you an unparalleled
3G base thrust addition!  All this for only 6000 cr!!

The USP Perren has all the specifications of the ~Talon~ but with Mark VII
air-conditioning and a P-3 stabilizer for added comfort in the blackness of
space.  Also keep a lookout for its stylish drink holder/holosnack bar.
`
DATACUBE_1_5_TITLE       :INCOMING MESSAGE FROM MIDWAY, ~SAVARA~ : 21717 mark
DATACUBE_1_5_HEADER      :Mom
DATACUBE_1_5_BODY        :`Dear ~Trent~,

     Glad to hear you're doing so well on ~Tyrian~, son.  Papa's so proud of
you.  Oh yes, how's your Hazudra friend?  He seems nice.
You'll have to bring him home this Fokar-Cycle for dinner and a holo-snack.
You're going to come back this Fokar-Cycle, aren't you, son?  We still have
your room made up just like when you left.

     Papa wants me to tell you he finally has a job with ~Microsol~!
It seems they're interested in charting the Sti-5 sector where you're
working.  I always told you Papa was the best holo-chart deployer on ~Savara~!
Finally, I think we're going to move out of this old home. Papa got a
huge payment from his new P-Scouting job and we can afford to do some things
we've always wanted to do.

     Oh, oh, Papa says we have to go to the final interview now.  Seems
they want us to visit the local branch office for a welcoming party.
All our love!
                                                     Mom`
DATACUBE_1_6_TITLE       :~TYRIAN~ SYSTEM DATAFLUX - ASTEROID SECTOR 1
DATACUBE_1_6_HEADER      :Data
DATACUBE_1_6_BODY        :`The first asteroid sector of the Tyrian system is the central mining colony
where Microsol has been providing immense amounts of metal for starship
construction. Here can be found gigantic drilling machines and hangars for
prototype models that Microsol builds.

Maneuverability whilst in this sector is limited because of the large
asteroids, and Microsol has installed numerous energy turrets that destroy
